,categories,descriptions,rating,title
188,['Fragrance: Synthetic and Fragrant Plant Extracts'],"<p class=""description ingredient-description"">
				                	A volatile fragrance chemical with a sweet, floral odor used to impart scent to cosmetic products and perfumes.
				                </p>",Poor,benzyl salicylate
189,"['Plant Extracts', 'Antioxidants']",,Best,Berberis aristata
190,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']","<p class=""description ingredient-description"">
				                	A volatile citrus oil that, when used topically, is a photosensitizer...
				                </p>",Poor,bergamot oil
191,"['Antioxidants', 'Plant Extracts']",,Good,Bertholletia excelsa extract
192,['Antioxidants'],"<p class=""description ingredient-description"">
				                	Member of the carotenoid family. There are hundreds of carotenoids, including lycopene and lutein....
				                </p>",Good,beta-carotene
193,"['Skin-Soothing', 'Antioxidants']","<p class=""description ingredient-description"">
				                	Polysaccharide sugar derived from yeast or oats. It has some antioxidant properties and is a skin-soothing agent.
				                </p>",Best,beta-glucan
194,"['Skin-Soothing', 'Antioxidants', 'Exfoliant']",,Best,beta hydroxy acid
195,['Exfoliant'],"<p class=""description ingredient-description"">
				                	Plant extract, similar to cholesterol, that can have antioxidant properties...
				                </p>",Good,betaine salicylate
196,"['Skin-Soothing', 'Plant Extracts', 'Skin-Replenishing']","<p class=""description ingredient-description"">
				                	Plant extract, similar to cholesterol, that can have antimicrobial properties (Source: Journal of...
				                </p>",Best,beta-sitosterol
197,"['Antioxidants', 'Coloring Agents/Pigments', 'Plant Extracts']",,Good,Beta vulgaris root extract
198,"['Antioxidants', 'Plant Extracts']",,Good,Betula alba
199,"['Skin-Soothing', 'Exfoliant', 'Anti-Acne']","<p class=""description ingredient-description"">
				                	BHA, or beta hydroxy acid, is more commonly known as salicylic acid.
				                </p>",Best,BHA (beta hydroxy acid)
200,['Antioxidants'],"<p class=""description ingredient-description"">
				                	Butylated hydroxytoluene, a potent synthetic antioxidant that also has negative properties when...
				                </p>",Average,BHT
201,['Miscellaneous'],,Good,bifida ferment lysate
202,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Some research shows bilberry (vaccinium myrtillis) to be effective as an antioxidant when ingested...
				                </p>",Good,bilberry extract
203,['Antioxidants'],"<p class=""description ingredient-description"">
				                	Diverse range of substances that are components of many fruits and vegetables. Many have been shown...
				                </p>",Best,bioflavonoid
204,['Vitamins'],"<p class=""description ingredient-description"">
				                	A water-soluble substance produced in the body by certain types of...
				                </p>",Good,biotin
205,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Extract derived from the plant Betula alba (common name white birch). It can have potent...
				                </p>",Good,birch bark extract
206,"['Antioxidants', 'Plant Extracts']",,Good,birch leaf extract
207,"['Skin-Soothing', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Can be extracted from chamomile or derived synthetically. It is an anti-irritant.
				                </p>",Best,bisabolol
208,"['Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	Can be extracted from chamomile or derived synthetically. It is an skin-soothing ingredient.
				                </p>",Good,bis-diglyceryl polyacyladipate
209,"['Texture Enhancer', 'Absorbent']","<p class=""description ingredient-description"">
				                	Also known as synthetic pearl, it’s the primary ingredient included in most powders that are referred to as...
				                </p>",Average,bismuth oxychloride
210,"['Silicones', 'Cleansing Agents', 'Texture Enhancer', 'Emollients']","<p class=""description ingredient-description"">
				                	A synthetic skin conditioning agent and surfactant belonging to the chemical class of siloxanes and...
				                </p>",Good,bis-PEG-18 methyl ether dimethyl silane
211,"['Silicones', 'Texture Enhancer']","<p class=""description ingredient-description"">
				                	A synthetic, colorless, silicone-based polymer that...
				                </p>",Good,bis-phenylpropyl dimethicone
212,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",,Poor,bitter orange flower
213,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Berries that have antioxidant properties...
				                </p>",Best,blackberry
214,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	There is no research showing that black cohosh can have this or any effect…
				                </p>",Average,black cohosh
215,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Non-volatile plant oil.
				                </p>",Best,black currant oil
216,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	When taken orally, this has antioxidant properties (Source: Journal of Agricultural Food...
				                </p>",Good,black elderberry
217,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Extract that can have antioxidant properties, although it also may have harmful...
				                </p>",Poor,black locust extract
218,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Due to its arbutin content, this extract can have some value in improving the look of discolorations....
				                </p>",Good,black mulberry
219,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	It can cause significant skin sensitivity...
				                </p>",Poor,black pepper extract and oil
220,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Fruit that has antioxidant properties...
				                </p>",Best,black raspberry
221,"['Skin-Soothing', 'Plant Extracts', 'Antioxidants']",,Best,black tea
222,"['Antioxidants', 'Plant Extracts']","<p class=""description ingredient-description"">
				                	Extract derived from seaweed; it can be an effective antioxidant and has water-binding properties...
				                </p>",Best,bladderwrack extract
223,['Plant Extracts'],"<p class=""description ingredient-description"">
				                	Also known as yarrow.
				                </p>",Poor,bloodwort
224,['Coloring Agents/Pigments'],,Good,blue 1
225,['Coloring Agents/Pigments'],,Good,blue 1 lake
226,"['Skin-Soothing', 'Plant Extracts', 'Antioxidants']","<p class=""description ingredient-description"">
				                	Extract from a flowering plant. Animal studies have shown that this plant has strong...
				                </p>",Best,Boerhavia diffusa root extract
